species,amphibia,aves,mammalia,reptilia,Grand Total,amp_prop,ave_prop,mam_prop,rep_prop,TribeSubfamily,Genus
Culex_douglasi,,4,,,4,0,1,0,0,Culicini,Culex
Culex_hilli,,,4,,4,0,0,1,0,Culicini,Culex
Culex_orbostiensis,,1,3,,4,0,0.25,0.75,0,Culicini,Culex
Culex_perryi,,,4,,4,0,0,1,0,Culicini,Culex
Culex_infantulus,3,,,,3,1,0,0,0,Culicini,Culex
Culex_ryukyensis,,,2,1,3,0,0,0.666666667,0.333333333,Culicini,Culex
Culex_caudelli,,,2,,2,0,0,1,0,Culicini,Culex
Culex_lactator,,2,,,2,0,1,0,0,Culicini,Culex
Culex_pusillus,,,2,,2,0,0,1,0,Culicini,Culex
Culex_ribeirensis,,,2,,2,0,0,1,0,Culicini,Culex
Culex_theobaldi,,2,,,2,0,1,0,0,Culicini,Culex
Culex_vomerifer,,,2,,2,0,0,1,0,Culicini,Culex
Culex_bahamensis,,,,1,1,0,0,0,1,Culicini,Culex
Culex_crinicauda,,,1,,1,0,0,1,0,Culicini,Culex
Culex_hayashii,1,,,,1,1,0,0,0,Culicini,Culex
Culex_intrincatus,,1,,,1,0,1,0,0,Culicini,Culex
Culex_mollis,,1,,,1,0,1,0,0,Culicini,Culex
Culex_nebulosus,,,1,,1,0,0,1,0,Culicini,Culex
Culex_ocossa,,,1,,1,0,0,1,0,Culicini,Culex
Culex_pallidothorax,,1,,,1,0,1,0,0,Culicini,Culex
Culex_portesi,,,1,,1,0,0,1,0,Culicini,Culex
Culex_submarginalis,,,1,,1,0,0,1,0,Culicini,Culex
Culex_weschei,,1,,,1,0,1,0,0,Culicini,Culex
Culiseta_inornata,,1465,1743,8,3216,0,0.455534826,0.541977612,0.002487562,Culisetini,Culiseta
Culiseta_melanura,,1321,87,75,1483,0,0.890761969,0.058664869,0.050573163,Culisetini,Culiseta
Culiseta_annulata,,1,209,,210,0,0.004761905,0.995238095,0,Culisetini,Culiseta
Culiseta_morsitans,,124,18,,142,0,0.873239437,0.126760563,0,Culisetini,Culiseta
Culiseta_incidens,,1,127,,128,0,0.0078125,0.9921875,0,Culisetini,Culiseta
Culiseta_atra,,7,,,7,0,1,0,0,Culisetini,Culiseta
Culiseta_impatiens,,,5,,5,0,0,1,0,Culisetini,Culiseta
Culiseta_longiareolata,,,1,,1,0,0,1,0,Culisetini,Culiseta
Culiseta_spp,,1,,,1,0,1,0,0,Culisetini,Culiseta
Deinocerites_epitedeus,86,430,378,988,1882,0.045696068,0.22848034,0.200850159,0.524973433,Culicini,Deinocerites
Deinocerites_pseudes,20,109,367,155,651,0.030721966,0.167434716,0.56374808,0.238095238,Culicini,Deinocerites
Deinocerites_cancer,5,224,86,27,342,0.014619883,0.65497076,0.251461988,0.078947368,Culicini,Deinocerites
Deinocerites_dyari,,14,6,316,336,0,0.041666667,0.017857143,0.94047619,Culicini,Deinocerites
Deinocerites_melanophylum,,4,18,111,133,0,0.030075188,0.135338346,0.834586466,Culicini,Deinocerites
Deinocerites_magnus,,1,,8,9,0,0.111111111,0,0.888888889,Culicini,Deinocerites
Eretmapodites_chrysogaster,,2,,,2,0,1,0,0,Aedini,Eretmapodites
Ficalbia_spp,,,2,,2,0,0,1,0,Ficalbiini,Ficalbia
Ficalbia_ichiromiyagii,,,1,,1,0,0,1,0,Ficalbiini,Ficalbia
Haemagogus_janthinomys,,107,293,,400,0,0.2675,0.7325,0,Aedini,Haemagogus
Haemagogus_leucocelaenus,,7,40,,47,0,0.14893617,0.85106383,0,Aedini,Haemagogus
Heizmannia_kana,,,24,,24,0,0,1,0,Aedini,Heizmannia
Hodgesia_cyptopus,,,1,,1,0,0,1,0,Hodgesiini,Hodgesia
Limatus_durhamii,,4,11,,15,0,0.266666667,0.733333333,0,Sabethini,Limatus
Limatus_,,1,,,1,0,1,0,0,Sabethini,Limatus
Lutzia_tigripes,,58,5,,63,0,0.920634921,0.079365079,0,Culicini,Lutzia
Lutzia_halifaxii,,1,50,,51,0,0.019607843,0.980392157,0,Culicini,Lutzia
Lutzia_fuscana,,14,18,,32,0,0.4375,0.5625,0,Culicini,Lutzia
Lutzia_vorax,,1,1,,2,0,0.5,0.5,0,Culicini,Lutzia
Mansonia_titillans,4,280,2173,,2457,0.001628002,0.113960114,0.884411884,0,Mansoniini,Mansonia
Mansonia_africana,5,19,1269,,1293,0.003866976,0.014694509,0.981438515,0,Mansoniini,Mansonia
Mansonia_uniformis,4,42,1206,,1252,0.003194888,0.033546326,0.963258786,0,Mansoniini,Mansonia
Mansonia_dyari,,338,852,7,1197,0,0.282372598,0.711779449,0.005847953,Mansoniini,Mansonia
Mansonia_leberi,,20,40,,60,0,0.333333333,0.666666667,0,Mansoniini,Mansonia
Mansonia_indubitans,,1,12,,13,0,0.076923077,0.923076923,0,Mansoniini,Mansonia
Mansonia_humeralis,,,4,,4,0,0,1,0,Mansoniini,Mansonia
Mansonia_septempunctata,,1,3,,4,0,0.25,0.75,0,Mansoniini,Mansonia
Mansonia_flaveola,,3,,,3,0,1,0,0,Mansoniini,Mansonia
Mansonia_sp.,,,2,,2,0,0,1,0,Mansoniini,Mansonia
Mansonia_bonneae,,,1,,1,0,0,1,0,Mansoniini,Mansonia
Mimomyia_mediolineata,30,,1,,31,0.967741935,0,0.032258065,0,Ficalbiini,Mimomyia
Mimomyia_splendens,21,2,1,,24,0.875,0.083333333,0.041666667,0,Ficalbiini,Mimomyia
Mimomyia_hispida,2,,2,,4,0.5,0,0.5,0,Ficalbiini,Mimomyia
Mimomyia_luzonensis,2,,1,,3,0.666666667,0,0.333333333,0,Ficalbiini,Mimomyia
Mimomyia_plumosa,2,,,,2,1,0,0,0,Ficalbiini,Mimomyia
Mimomyia_elegans,1,,,,1,1,0,0,0,Ficalbiini,Mimomyia
Psorophora_columbiae,,6,3059,,3065,0,0.001957586,0.998042414,0,Aedini,Psorophora
Psorophora_ferox,,38,516,1,555,0,0.068468468,0.92972973,0.001801802,Aedini,Psorophora
Psorophora_toltecum,,1,359,,360,0,0.002777778,0.997222222,0,Aedini,Psorophora
Psorophora_howardii,,1,209,,210,0,0.004761905,0.995238095,0,Aedini,Psorophora
Psorophora_confinnis,,13,180,,193,0,0.067357513,0.932642487,0,Aedini,Psorophora
Psorophora_albigenu,,17,96,,113,0,0.150442478,0.849557522,0,Aedini,Psorophora
Psorophora_cingulata,,2,85,,87,0,0.022988506,0.977011494,0,Aedini,Psorophora
Psorophora_varinervis,,,84,,84,0,0,1,0,Aedini,Psorophora
Psorophora_ciliata,,2,81,,83,0,0.024096386,0.975903614,0,Aedini,Psorophora
Psorophora_discolor,,8,72,,80,0,0.1,0.9,0,Aedini,Psorophora
Psorophora_cyanescens,,3,76,,79,0,0.037974684,0.962025316,0,Aedini,Psorophora
Psorophora_signipennis,,,58,,58,0,0,1,0,Aedini,Psorophora
Psorophora_albipes,,11,9,,20,0,0.55,0.45,0,Aedini,Psorophora
Psorophora_mathesoni,,,10,7,17,0,0,0.588235294,0.411764706,Aedini,Psorophora
Psorophora_pallescens,,,16,,16,0,0,1,0,Aedini,Psorophora
Psorophora_discrucians,,,3,,3,0,0,1,0,Aedini,Psorophora
Psorophora_dimidiata,,,1,,1,0,0,1,0,Aedini,Psorophora
Runchomyia_theobaldi,,9,7,,16,0,0.5625,0.4375,0,Sabethini,Runchomyia
Sabethes_albiprivus,,,10,,10,0,0,1,0,Sabethini,Sabethes
Sabethes_chloropterus,,,1,,1,0,0,1,0,Sabethini,Sabethes
Sabethes_quasicyaneus,,,1,,1,0,0,1,0,Sabethini,Sabethes
Trichoprosopon_digitatum,,5,6,,11,0,0.454545455,0.545454545,0,Sabethini,Trichoprosopon
Uranotaenia_sapphirina,,2,3,3,81,0,0.024691358,0.037037037,0.037037037,Uranotaeniini,Uranotaenia
Uranotaenia_macfarlanei,80,,,,80,1,0,0,0,Uranotaeniini,Uranotaenia
Uranotaenia_lowii,49,,,2,51,0.960784314,0,0,0.039215686,Uranotaeniini,Uranotaenia
Uranotaenia_ohamai,38,,,,39,0.974358974,0,0,0,Uranotaeniini,Uranotaenia
Uranotaenia_mashonaensis,,6,18,1,25,0,0.24,0.72,0.04,Uranotaeniini,Uranotaenia
Uranotaenia_unguiculata,8,,,13,21,0.380952381,0,0,0.619047619,Uranotaeniini,Uranotaenia
Uranotaenia_jacksoni,18,,,2,20,0.9,0,0,0.1,Uranotaeniini,Uranotaenia
Uranotaenia_balfouri,13,,4,,17,0.764705882,0,0.235294118,0,Uranotaeniini,Uranotaenia
Uranotaenia_apicalis,2,2,7,1,12,0.166666667,0.166666667,0.583333333,0.083333333,Uranotaeniini,Uranotaenia
Uranotaenia_annandalei,11,,,,11,1,0,0,0,Uranotaeniini,Uranotaenia
Uranotaenia_nivipleura,8,,,,8,1,0,0,0,Uranotaeniini,Uranotaenia
Uranotaenia_yaeyamana,6,,,,6,1,0,0,0,Uranotaeniini,Uranotaenia
Uranotaenia_hystera,5,,,,5,1,0,0,0,Uranotaeniini,Uranotaenia
Uranotaenia_cooki,,,,4,4,0,0,0,1,Uranotaeniini,Uranotaenia
Uranotaenia_sp.,,2,,,2,0,1,0,0,Uranotaeniini,Uranotaenia
Uranotaenia_lateralis,1,,,,1,1,0,0,0,Uranotaeniini,Uranotaenia
Verrallina_funerea,,,9,,9,0,0,1,0,Aedini,Verrallina
Verrallina_atriisimilis,,,8,,8,0,0,1,0,Aedini,Verrallina
Verrallina_carmenti,,,6,,6,0,0,1,0,Aedini,Verrallina
Verrallina_iriomotensis,,,6,,6,0,0,1,0,Aedini,Verrallina
Verrallina_reesi,,,2,,2,0,0,1,0,Aedini,Verrallina
Wyeomyia_deanei,,27,131,,158,0,0.170886076,0.829113924,0,Sabethini,Wyeomyia
Wyeomyia_vanduzeei,,3,116,,119,0,0.025210084,0.974789916,0,Sabethini,Wyeomyia
Wyeomyia_davisi,,7,93,,100,0,0.07,0.93,0,Sabethini,Wyeomyia
Wyeomyia_mitchellii,,1,46,,47,0,0.021276596,0.978723404,0,Sabethini,Wyeomyia
Wyeomyia_theobaldi,,4,33,,37,0,0.108108108,0.891891892,0,Sabethini,Wyeomyia
Wyeomyia_forcipenis,,2,11,,13,0,0.153846154,0.846153846,0,Sabethini,Wyeomyia
